N,P,K,temperature,humidity,ph,rainfall,label
24,76,20,28.58797445,47.13828937,3.88310271,164.68639001,pigeonpeas
26,70,23,24.34271549,67.95383625,4.55066013,122.74671073,pigeonpeas
17,66,24,30.29455292,71.01103139,6.12180565,137.08907601,pigeonpeas
24,76,21,27.83367585,41.03042347,7.66795454,55.04285544,pigeonpeas
27,69,22,27.08375355,80.79864489,5.87836733,154.85846295,pigeonpeas
22,65,14,29.26127061,55.61275109,1.04566875,183.03597346,pigeonpeas
3,62,20,28.94068462,52.24681653,8.29276453,183.45485896,pigeonpeas
28,63,26,25.26284415,50.32519386,4.28221047,198.55975512,pigeonpeas
25,69,21,33.5521475,43.00802265,4.8042061,102.87671153,pigeonpeas
37,77,20,24.78736767,60.24932836,3.01668218,160.76091194,pigeonpeas
34,66,19,22.19217304,47.500644,4.09407904,118.6690194,pigeonpeas
18,72,21,25.0866987,35.70701277,5.86559264,142.87191537,pigeonpeas
24,70,18,26.12535059,29.21334333,7.81594187,125.87962221,pigeonpeas
30,76,24,29.84853941,48.63292804,8.02277977,181.19027858,pigeonpeas
37,78,24,21.81503048,53.82635499,3.9811774,99.52801006,pigeonpeas
21,58,23,24.48937436,42.52952361,8.70307641,183.74668006,pigeonpeas
45,75,19,31.14355703,66.05940279,10.49572246,184.60674034,pigeonpeas
17,67,20,35.59049998,46.60286221,5.63153019,123.03867019,pigeonpeas
25,68,20,29.25961142,46.05847565,4.89375802,200.22086041,pigeonpeas
23,72,18,25.77938614,48.79905452,1.53945915,114.16069386,pigeonpeas
0,78,15,31.21672446,40.11415375,8.12225929,245.24482742,pigeonpeas
30,56,24,24.95374847,34.97309323,9.48734206,146.97972042,pigeonpeas
23,66,20,33.52296043,49.03705351,4.51250682,132.06478503,pigeonpeas
28,67,19,27.90479979,44.04174746,0.1903127,176.66743824,pigeonpeas
4,70,20,31.32021813,55.06733177,-1.96455634,165.35726613,pigeonpeas
22,61,17,32.12966066,33.88777314,8.16117615,144.04402523,pigeonpeas
13,75,13,28.73340374,65.19435158,9.09985785,160.69420162,pigeonpeas
20,57,16,30.88282776,48.40253821,7.69207724,132.99097253,pigeonpeas
29,64,17,25.83059745,60.01192533,4.19817052,122.88404082,pigeonpeas
9,59,16,30.97729937,51.90050092,5.69874016,71.21850454,pigeonpeas
8,59,16,30.88677531,56.11463652,10.03008473,128.42880137,pigeonpeas
11,76,20,25.37701552,41.91488513,4.10016051,201.26941539,pigeonpeas
18,69,18,29.19408262,63.52088132,2.21592973,115.15559789,pigeonpeas
4,74,21,33.42998682,46.89170287,5.14555213,154.10136586,pigeonpeas
38,81,21,36.81002832,48.57058917,7.88325888,135.46307333,pigeonpeas
19,82,26,18.69566562,45.45552004,2.91410557,178.65013224,pigeonpeas
0,67,26,33.63064535,30.52910414,4.71643542,112.95441602,pigeonpeas
31,52,19,32.04842869,34.48546676,6.07295709,150.97923509,pigeonpeas
19,75,22,23.25658846,50.36699203,9.22610404,124.05902904,pigeonpeas
14,63,24,31.96942302,51.08665899,7.40287637,140.34341659,pigeonpeas
30,68,19,26.84988276,57.93818354,3.84286944,145.21288978,pigeonpeas
5,60,18,32.67914924,48.66873941,4.28838953,185.79604237,pigeonpeas
30,76,18,28.09719979,58.26560069,2.59928214,149.37036372,pigeonpeas
7,71,23,26.6039798,46.97351007,6.43360088,88.14591744,pigeonpeas
0,73,28,30.11220523,37.45398087,6.20457406,110.57938246,pigeonpeas
14,59,14,20.74359683,50.11959241,7.95058442,132.18945523,pigeonpeas
17,78,16,29.83341953,61.214722,5.69557204,165.50789213,pigeonpeas
18,69,18,28.39910133,74.64513318,5.19600352,135.93783118,pigeonpeas
0,71,16,33.27788683,49.30246565,4.8895327,123.68434774,pigeonpeas
21,71,18,37.35199304,43.20380032,9.39004082,143.33393452,pigeonpeas
21,64,19,35.55711399,38.95765474,3.14470295,197.32702809,pigeonpeas
29,71,20,25.04817838,40.05246013,7.31928228,113.86730043,pigeonpeas
4,71,20,36.57162704,46.46771297,8.42000846,110.98734791,pigeonpeas
31,65,19,21.35102301,42.51641586,9.89527729,151.18774675,pigeonpeas
20,68,22,13.63706209,51.04939324,5.37753378,193.58116681,pigeonpeas
39,71,21,31.50323541,59.92871618,7.45901274,191.58390418,pigeonpeas
21,64,24,31.00209179,52.15581254,4.69531822,158.95089736,pigeonpeas
33,66,22,27.38980699,36.64254021,7.18182345,153.38394923,pigeonpeas
11,68,14,24.27839104,46.52386967,4.96143362,129.14829205,pigeonpeas
12,76,19,21.52651806,48.56859656,5.79502438,89.81887327,pigeonpeas
30,69,23,24.20381783,50.07686319,3.88068089,160.93953673,pigeonpeas
10,71,21,32.32639686,56.52801823,8.17975739,167.25188574,pigeonpeas
17,77,25,19.74910315,63.11167174,2.57138703,114.76354263,pigeonpeas
21,68,25,12.82877609,39.43055651,5.51385211,116.43289295,pigeonpeas
19,68,15,29.30776959,44.48998771,8.65383769,166.73160427,pigeonpeas
7,64,20,29.92802821,31.40189736,1.4924998,163.68878432,pigeonpeas
24,63,20,28.91584511,66.18237241,7.46580917,185.43670568,pigeonpeas
17,73,21,30.5991399,35.55692876,5.13584732,147.25884416,pigeonpeas
28,69,20,32.52091691,43.09889548,5.14929053,116.3222564,pigeonpeas
13,71,19,24.73121133,35.63938245,5.69410144,143.56329684,pigeonpeas
8,63,20,23.06856939,49.96057139,3.08635831,99.17024333,pigeonpeas
18,77,15,36.83434321,73.44100302,-1.26584382,146.07490313,pigeonpeas
27,59,15,36.963714,42.5757332,5.15661753,137.06613783,pigeonpeas
0,75,17,34.46650781,67.20632597,4.87936617,162.16917921,pigeonpeas
32,62,25,20.37470184,65.15430273,2.95872345,148.96960302,pigeonpeas
12,60,17,24.81213347,51.49605631,0.7204621,147.60938892,pigeonpeas
18,83,15,31.59073113,47.99491163,4.67237367,107.90469604,pigeonpeas
39,62,24,29.6253602,52.29902882,4.73282922,168.82018739,pigeonpeas
27,64,16,35.67536981,64.46611411,7.7094624,137.36567944,pigeonpeas
4,72,26,27.14875372,46.35995508,2.58062021,181.47029163,pigeonpeas
39,65,17,18.18940994,42.54034868,1.86340469,130.3153749,pigeonpeas
26,55,25,24.61396686,59.5053365,5.19204926,167.34738095,pigeonpeas
15,68,17,28.23778492,49.44187835,4.14961611,147.34916101,pigeonpeas
35,52,12,25.00354469,35.21435856,4.90848619,155.16969922,pigeonpeas
20,82,18,30.7141367,48.40331519,4.68064396,167.96946021,pigeonpeas
5,65,20,21.96480888,65.48574723,11.0987572,163.34842102,pigeonpeas
23,56,23,26.47794479,60.58800861,4.99715956,144.91400874,pigeonpeas
18,74,19,25.87634123,50.62406051,5.18509892,118.08453493,pigeonpeas
11,69,16,21.83252234,34.3986647,2.83305191,189.72012752,pigeonpeas
49,73,18,30.42524482,70.3817447,1.42590977,123.72553872,pigeonpeas
34,68,17,20.25662172,46.70000804,3.60742609,155.15693275,pigeonpeas
14,66,20,22.84651132,28.76914747,4.0976775,159.79476999,pigeonpeas
43,76,22,25.97383914,48.58662719,4.65540667,167.63754833,pigeonpeas
25,80,16,38.98688295,59.87110198,6.02300623,191.75237998,pigeonpeas
2,81,18,24.7649527,36.77995613,2.78036991,161.10567042,pigeonpeas
21,74,23,25.44952346,38.55777984,5.6902362,163.11948758,pigeonpeas
12,45,19,23.63606838,48.14600926,5.99791237,46.28042464,mothbeans
35,42,22,28.12556343,64.93253213,9.38178291,53.36375166,mothbeans
15,54,18,31.29444476,42.65651957,7.0544829,64.8026851,mothbeans
33,53,25,29.56698263,68.71708416,8.60215768,29.33099849,mothbeans
23,64,21,30.80782792,35.68738503,6.62885464,55.92661962,mothbeans
22,39,21,31.68235389,61.31315065,6.52977394,61.50889157,mothbeans
12,56,18,28.99116327,62.91765526,4.18215105,50.45835143,mothbeans
24,52,21,29.74705782,57.49024421,4.83605539,62.88319797,mothbeans
14,54,20,23.06265051,55.81171889,6.68698211,57.19697139,mothbeans
22,44,28,25.68782455,48.53622393,13.38770822,56.05215963,mothbeans
30,58,21,26.66666643,57.89083536,9.21843079,52.61685652,mothbeans
27,44,21,28.06392247,59.18953513,8.12622476,53.00583945,mothbeans
36,52,20,29.85735396,53.59037585,6.41955416,55.05727106,mothbeans
20,43,17,31.04698685,45.24758019,5.40216733,66.06489253,mothbeans
26,43,18,31.86971658,59.11843417,5.41339155,51.47798122,mothbeans
22,47,17,29.95221828,52.47562767,7.95377062,48.80507052,mothbeans
34,37,18,29.14280484,62.36397675,10.13321782,51.49639396,mothbeans
29,35,21,30.71937436,48.98943846,4.86209409,45.30976061,mothbeans
17,49,24,31.39407146,49.63793682,7.91013944,56.054149,mothbeans
29,38,18,34.48582534,50.97390712,5.31965179,64.83099095,mothbeans
37,42,23,33.3270941,46.19245421,6.41357396,55.66350329,mothbeans
20,42,20,27.86572708,49.48920528,7.44787928,29.22285902,mothbeans
25,36,19,25.18897471,50.78077132,1.68016687,37.4639615,mothbeans
34,49,27,26.90470607,68.78316684,6.48641642,67.03258317,mothbeans
25,54,14,31.86029801,50.20724669,7.86480261,58.44855407,mothbeans
22,35,22,26.30882455,49.74896628,5.87484231,65.82574317,mothbeans
30,34,17,27.38503782,47.19308766,4.67092595,28.53389111,mothbeans
24,55,21,23.79378688,52.27473459,4.3287518,49.70254994,mothbeans
25,50,25,23.55600982,45.71117964,12.40892499,47.72283259,mothbeans
32,30,16,27.31565445,46.9813213,6.21226621,35.83499617,mothbeans
22,46,23,25.84169333,63.80947463,9.6889506,60.03341325,mothbeans
22,53,17,27.67155727,61.71309747,7.22222149,65.96911604,mothbeans
28,63,18,26.06953687,52.58043387,7.50182594,49.14903807,mothbeans
31,50,21,26.10282473,47.95382636,9.24879296,58.62612533,mothbeans
1,44,21,29.39586963,60.69884569,6.3794845,49.01213025,mothbeans
27,43,15,30.80833937,35.62241488,5.69041465,50.34462143,mothbeans
15,51,20,30.88136523,51.93494503,8.38226193,48.93335834,mothbeans
37,43,21,29.78390868,66.74992128,6.16594076,43.16168513,mothbeans
23,38,19,26.79223119,48.30380487,4.01343499,70.1100196,mothbeans
30,56,20,27.33881652,65.24318241,5.84419692,55.69576321,mothbeans
27,61,22,20.2013965,58.13042972,5.68369643,56.4369609,mothbeans
33,55,15,31.34989797,49.33678965,8.23145456,39.329606,mothbeans
15,48,17,26.81366862,60.40239651,7.30838135,33.21395401,mothbeans
25,47,19,31.53989722,48.80097193,3.71004028,42.85586806,mothbeans
28,40,20,28.92554009,39.50427009,6.42135935,47.36332578,mothbeans
30,44,21,26.93779357,59.87516872,4.13560457,41.11564828,mothbeans
13,48,20,29.8996013,48.60410258,4.58391891,46.04296335,mothbeans
34,47,18,30.77832325,70.14198832,7.21936527,65.80610953,mothbeans
19,45,22,27.64152427,38.08501442,5.30775887,32.76720777,mothbeans
31,56,23,26.1749542,62.4348985,5.8128355,58.84201586,mothbeans
16,42,17,26.30866906,61.2513045,9.75606359,42.59048867,mothbeans
26,53,14,27.03607027,65.94636712,6.36498159,68.87565709,mothbeans
17,59,19,27.92308201,57.49475535,5.60288265,57.81485176,mothbeans
16,41,21,21.90420043,52.89421139,7.42285875,47.60355383,mothbeans
29,62,20,29.66219451,41.44416527,7.29104716,50.28112875,mothbeans
16,47,21,28.80285253,51.48205037,6.43047926,48.1808176,mothbeans
13,46,19,31.51457353,43.42639906,5.64570564,40.2187144,mothbeans
32,35,21,28.34304733,56.01705987,7.74316962,39.79595059,mothbeans
36,48,23,28.46139304,65.69943463,4.67578578,50.90142024,mothbeans
29,60,16,24.06399996,63.05135131,7.34797695,48.28193705,mothbeans
28,33,22,29.88819384,62.96154123,11.03641962,30.68927192,mothbeans
17,38,19,24.31422935,52.61142809,6.46901961,41.56181863,mothbeans
31,44,22,25.56175912,59.07240452,5.64018835,61.22015848,mothbeans
30,48,19,26.83911221,48.22209869,10.10073834,42.17393151,mothbeans
21,41,22,29.72467575,41.71511919,4.54312873,20.56283994,mothbeans
26,54,27,27.93994891,61.9232213,5.14005445,30.90064422,mothbeans
12,57,18,31.2704981,47.13284532,5.71820462,55.13798051,mothbeans
13,54,20,26.75915244,63.22213091,3.94433273,70.72843578,mothbeans
23,26,15,34.15605887,44.25971213,9.65409892,39.79095915,mothbeans
30,64,20,33.18913837,48.10723353,8.32819208,56.86937203,mothbeans
24,47,19,28.41950229,47.8486863,12.11361898,34.08800105,mothbeans
35,60,19,28.58205235,38.08718374,6.99818602,41.47212687,mothbeans
34,54,23,32.6791814,46.81729034,9.79794332,33.41393213,mothbeans
26,53,21,29.62406752,54.63199569,8.48556765,31.47350632,mothbeans
8,43,21,19.30901582,45.18553206,9.00171595,63.03596281,mothbeans
35,63,24,26.77567371,45.36980769,9.35394732,57.52688643,mothbeans
31,34,21,34.41904523,46.05110728,6.68163685,67.96229222,mothbeans
24,58,22,29.37119474,49.78055298,9.23000804,99.30988851,mothbeans
39,60,20,24.37516017,63.69894114,6.70189145,30.28199489,mothbeans
18,55,19,29.62616395,44.10787476,4.09533396,60.06322989,mothbeans
36,57,18,25.55042849,51.31955382,4.20992065,39.45967201,mothbeans
33,53,23,24.13864853,52.02604434,6.72203446,48.07500064,mothbeans
17,46,15,28.10611184,51.41296046,5.6510661,70.01520228,mothbeans
22,41,18,27.02105963,52.18202326,7.7704239,36.14644537,mothbeans
29,47,16,33.27416409,44.44092869,8.12154441,53.40060635,mothbeans
15,38,20,29.10426013,39.38087502,7.79457474,41.16685228,mothbeans
24,54,17,24.13253903,56.26681264,4.60065858,37.79987816,mothbeans
22,54,16,25.98206155,53.83890613,7.7044615,49.83049049,mothbeans
27,36,17,29.19664542,64.77338641,7.10483092,46.05997905,mothbeans
35,46,20,29.72117937,47.07386717,7.18741893,54.29322683,mothbeans
16,45,22,29.4427776,56.67524443,12.30715443,58.36962629,mothbeans
23,44,19,30.17342635,59.72581943,4.7875167,60.14811071,mothbeans
18,47,19,26.45855955,49.48221599,9.0240292,43.81739118,mothbeans
25,35,20,30.78085125,46.54427658,5.58566583,56.45545228,mothbeans
30,42,22,27.34359679,54.90431503,5.25000724,61.37266731,mothbeans
24,32,25,31.38647339,52.74928714,4.34963149,43.96559188,mothbeans
22,56,16,25.72805606,33.89886233,2.43130664,72.57830892,mothbeans
25,42,18,28.87996262,45.18489491,7.70345869,45.34105248,mothbeans
40,28,20,32.37006655,46.71983676,6.37432238,54.98086782,mothbeans
16,53,19,25.9846333,56.98926728,4.51256844,60.24602657,mothbeans
1,58,20,29.28951608,87.07073943,6.31335176,40.68163676,mungbean
17,50,24,28.44578454,86.59352333,6.72318004,48.99683234,mungbean
31,55,17,29.47698273,84.73367896,6.20650432,58.6910779,mungbean
45,59,18,27.47037493,86.51444029,6.56086998,50.63996283,mungbean
18,55,22,27.71164203,81.49520689,6.70788184,52.48826238,mungbean
46,35,20,28.27366457,85.28764888,6.79712608,57.11977589,mungbean
46,53,22,28.08696867,84.26699983,7.19232074,64.06954912,mungbean
22,45,16,28.46267662,84.04470903,6.11357557,45.03856792,mungbean
26,43,17,28.49268387,83.67526559,7.4755357,45.406182,mungbean
23,49,18,28.8255188,91.08593751,7.30534095,50.43134418,mungbean
47,49,25,28.70685732,85.73854085,6.54725456,55.54044113,mungbean
34,44,21,27.2915252,82.31355727,6.76208262,48.2512543,mungbean
26,30,20,30.13952402,90.02030194,5.79704622,50.38727681,mungbean
0,40,18,28.57832069,84.39151611,6.62926445,46.60224376,mungbean
20,60,17,30.3047022,80.98253508,6.52731769,40.39848002,mungbean
0,49,20,29.5385688,88.92718284,6.60614597,54.52983265,mungbean
39,41,23,27.84783996,85.67598601,6.80834141,53.29193387,mungbean
17,47,22,28.04360757,84.19344409,6.64994024,59.7580315,mungbean
29,44,21,28.68812164,86.80725816,7.00237495,27.1536913,mungbean
35,47,19,25.64967589,84.02049341,6.02336555,49.76983634,mungbean
14,44,22,27.5527501,84.10607235,6.61947986,44.41503354,mungbean
6,48,24,27.89785792,83.56991979,6.59199102,52.58262499,mungbean
36,42,24,29.90360698,85.16803488,5.95072524,66.31600492,mungbean
7,55,20,28.78100926,84.56095083,6.57450559,41.05415061,mungbean
5,40,14,29.90803073,86.10310969,6.68501948,30.47811345,mungbean
36,45,18,29.91807055,85.13667346,7.24560255,42.51800885,mungbean
33,46,16,26.82057627,79.81984554,7.00898538,38.78796551,mungbean
26,64,25,27.13684949,83.9508241,5.91694259,60.1590806,mungbean
17,56,22,28.30936253,83.94625324,7.26665663,61.31292887,mungbean
27,66,19,28.41156812,81.24003331,6.61382476,36.08857981,mungbean
29,30,22,26.82593754,84.64721655,6.11830445,59.44997263,mungbean
9,42,22,29.79546837,88.30834674,6.6233631,28.58153404,mungbean
4,37,23,28.06884076,81.45473463,7.46398559,51.68844783,mungbean
15,62,24,26.62308402,86.64934078,6.6393926,39.7334147,mungbean
40,53,25,28.33992003,83.35363011,7.57920781,43.37552208,mungbean
37,47,17,30.60998541,80.41991315,5.98674346,52.52102432,mungbean
2,35,22,29.56182435,84.52309568,6.98508625,52.30230533,mungbean
29,48,19,28.20536416,82.92922846,7.14442189,36.65508213,mungbean
7,23,20,29.62242441,89.77378591,6.26458637,62.01583284,mungbean
31,53,15,26.43298617,88.11396787,6.60995035,37.71854326,mungbean
17,52,17,28.82267644,81.00780269,6.66473289,38.651428,mungbean
23,26,21,28.8665588,88.85128599,6.37238444,30.06345024,mungbean
32,32,15,29.93724246,85.3036461,6.75163718,39.05477738,mungbean
1,64,17,28.12916512,86.96597792,7.4411449,46.40330463,mungbean
26,60,17,29.02515729,82.83105596,6.89772663,53.50811678,mungbean
37,38,18,29.06139244,88.6996605,6.12321168,43.89964098,mungbean
17,39,21,28.95202164,83.61049539,7.69247751,42.11642145,mungbean
32,57,25,26.83156401,82.27845065,7.11157048,26.78908416,mungbean
13,41,19,28.21689568,90.6223957,6.50290743,50.75320173,mungbean
0,43,16,28.23572291,88.22730848,6.4765588,47.61986422,mungbean
5,50,20,29.0446774,87.49404115,6.9387248,45.57445317,mungbean
0,42,21,27.47016385,86.22777025,6.4214887,47.73753352,mungbean
19,44,20,27.49071747,79.44416694,6.96037131,55.71305139,mungbean
24,49,19,27.41734828,86.26806487,6.93542725,49.606577,mungbean
17,65,21,27.62272756,83.87753022,7.26638115,55.38451762,mungbean
35,44,23,26.8322676,83.63903786,7.22453521,60.56158176,mungbean
0,35,20,26.63657685,84.10851875,6.00395174,61.11951205,mungbean
18,39,23,25.2367333,83.67160804,6.67705695,42.71138136,mungbean
15,44,20,28.70841786,82.23953695,6.58303002,41.83461742,mungbean
0,53,20,29.31567034,87.14939561,6.61750412,49.38121028,mungbean
19,61,30,29.71987082,83.30402264,7.01489091,53.38663333,mungbean
22,62,16,30.85216493,80.38602267,5.68541814,47.52869776,mungbean
34,46,17,26.81228945,84.48367171,6.06539771,37.20030517,mungbean
21,41,21,26.81721454,80.09401861,6.13990696,50.79621814,mungbean
20,42,20,28.37046961,84.53893579,6.49370343,37.56041169,mungbean
14,54,13,29.29736499,79.37795268,5.99229605,43.88587335,mungbean
11,50,19,29.36929955,79.1921357,6.73750571,40.96722221,mungbean
19,40,20,28.22182338,83.16615239,7.49492112,51.32191938,mungbean
15,44,18,31.45909059,83.01215455,5.66566152,35.20054423,mungbean
23,57,21,27.8231917,84.47737886,7.69063173,50.00971038,mungbean
13,52,20,28.19174409,93.03632792,5.93047435,55.66810287,mungbean
32,43,22,27.17081087,79.57950549,6.58550751,35.4519373,mungbean
9,46,19,29.21030915,86.38705738,6.28659948,45.39338226,mungbean
5,39,17,28.08574298,82.06310491,7.04777621,41.73612884,mungbean
6,61,22,27.63837949,83.30688507,6.28735491,40.91311027,mungbean
28,45,25,28.90427938,85.78708108,6.76353633,61.92213142,mungbean
9,50,23,27.82798307,84.19568892,6.0483167,44.89314313,mungbean
27,38,17,28.87019546,81.49407474,7.06450863,47.8857551,mungbean
8,28,18,27.2787414,90.47721426,6.69484267,55.46735043,mungbean
17,43,12,29.13439959,85.30303792,6.74996283,44.77740263,mungbean
15,50,16,28.73271831,80.37345368,6.18613652,31.85046875,mungbean
13,48,18,27.941913,87.95576173,7.21307814,34.82486014,mungbean
28,41,20,28.08496189,77.13503823,6.76161662,46.54111233,mungbean
18,57,14,28.2575386,83.5734625,7.17792429,53.38210215,mungbean
3,54,20,29.57185273,84.82166811,6.72802447,52.07411994,mungbean
16,43,15,28.45764706,86.97065053,7.11809906,48.86574081,mungbean
29,56,25,29.78129036,90.83641737,7.00992699,49.83048474,mungbean
32,21,21,29.70248978,90.61014553,7.06598067,61.47906418,mungbean
27,48,19,27.93331624,86.51516904,7.09022409,38.95588803,mungbean
30,71,13,28.03566432,87.54547555,6.5313565,57.91822647,mungbean
32,55,23,27.37107564,79.90157036,6.69790712,71.19040491,mungbean
20,48,23,27.74481784,79.87908999,6.86147765,31.65073531,mungbean
26,44,23,28.43842512,90.15653464,6.43459202,59.25701221,mungbean
17,31,23,27.26483603,84.34705883,7.02402252,54.71517374,mungbean
31,43,15,28.34148761,88.69167393,6.06837369,66.68796763,mungbean
15,43,23,30.31425488,88.3793106,6.09940994,49.71127208,mungbean
39,55,22,27.2705991,90.09810369,6.29846743,61.90033946,mungbean
6,45,12,28.91299284,79.3500148,7.26523892,57.46179889,mungbean
0,47,19,28.77230173,83.05147753,7.64284583,49.28483992,mungbean
0,47,19,29.07980984,85.06005071,6.99093247,38.03523784,mungbean
49,70,11,27.98281847,60.49586442,5.9831449,68.58831588,blackgram
27,61,19,29.64658174,74.19418411,6.19252264,67.3745064,blackgram
26,63,17,30.22147765,66.67684186,6.85924209,66.73911868,blackgram
40,71,17,28.30788477,66.69059663,7.29854696,66.2685518,blackgram
45,73,20,24.06844187,68.83124319,7.2466136,61.98340335,blackgram
19,61,27,36.1734067,65.7037714,6.61694248,66.8918005,blackgram
43,63,19,31.8238186,70.88435547,6.92425337,67.79351342,blackgram
26,68,25,26.29764876,64.26575848,6.76750916,64.51147715,blackgram
58,83,29,27.1796673,66.70810726,7.52257151,71.79177117,blackgram
45,70,20,29.86285928,67.3597992,6.88066448,60.7240129,blackgram
36,77,17,29.50357034,68.12897431,7.47729355,73.10875544,blackgram
37,73,24,29.73811757,64.27787586,7.31363189,66.71835667,blackgram
32,67,16,29.93778043,61.88217311,6.23156954,74.11345741,blackgram
54,71,10,28.41440038,67.08911022,6.62374244,76.1005307,blackgram
37,75,19,34.40200144,60.27222993,5.98599894,71.84843258,blackgram
49,59,18,29.2672901,66.25387732,6.99478098,65.27058208,blackgram
46,72,29,27.75642352,60.14172877,6.3696682,64.48174082,blackgram
24,76,10,27.73499093,66.5603367,6.93857111,67.04523619,blackgram
44,71,15,23.36772173,66.26003829,6.46137556,71.4453124,blackgram
22,59,6,35.18962168,69.58215809,7.23569112,68.67557552,blackgram
39,54,14,26.16738595,64.60476942,7.12440338,65.48391468,blackgram
30,66,10,30.88368853,59.28408869,7.09700255,61.24374128,blackgram
33,75,17,36.74793809,66.24793777,6.3939936,66.16647409,blackgram
54,72,19,32.38387744,61.56649815,5.89320567,70.18318789,blackgram
36,69,16,29.41071323,72.85452027,7.10931382,70.25122509,blackgram
43,67,23,27.28762408,62.84611916,6.96801979,59.29321466,blackgram
39,64,15,33.24442177,58.68678289,6.8765709,65.65550264,blackgram
35,75,13,29.76406719,64.97263864,6.76853016,81.47875891,blackgram
31,59,24,28.33799716,57.75916301,8.05921369,63.98952338,blackgram
44,70,17,30.0607734,59.48837001,7.27610021,68.80702922,blackgram
27,55,20,34.14934362,65.23804365,7.48797841,73.06404577,blackgram
38,67,19,33.50387495,57.95847881,7.01832298,67.60251812,blackgram
44,67,29,32.40650289,62.75135026,6.15993863,70.83419001,blackgram
46,64,17,28.40318578,68.39292328,6.83165657,74.8622159,blackgram
36,78,20,33.85079589,66.48266036,6.81446157,66.04821398,blackgram
29,62,18,31.98662142,68.77693249,6.18637167,65.01327493,blackgram
33,66,25,26.98533928,62.47502111,7.75135147,68.37887414,blackgram
28,78,17,27.73491139,64.49201691,7.49867706,70.70232092,blackgram
26,75,17,34.77635894,60.79103004,6.89157484,64.50011158,blackgram
35,63,18,23.1834486,64.72495521,7.61663787,76.11420624,blackgram
39,81,19,31.20091022,62.74760518,6.17769876,64.94819184,blackgram
34,84,28,28.64628922,62.97740295,6.01578278,68.39015363,blackgram
35,72,21,30.20641088,67.38361915,6.05776056,62.67541891,blackgram
43,64,20,32.188279,68.58020398,6.92061396,59.76244678,blackgram
50,59,14,27.70216218,65.34226224,7.37247846,73.96336117,blackgram
34,60,17,31.86005164,70.14577131,5.96479212,61.56132687,blackgram
32,70,18,29.27696027,63.46279934,7.55498995,69.24940113,blackgram
43,74,20,29.70270422,64.22362535,7.17654631,70.60587876,blackgram
50,70,21,29.64765637,62.63660333,6.41887876,76.64232694,blackgram
38,73,17,29.02547041,64.47989943,8.2669176,58.82975531,blackgram
51,78,23,28.36142265,66.48332465,7.2995204,63.92184283,blackgram
53,71,14,31.37484364,67.01033208,6.67142585,60.78953501,blackgram
54,61,18,28.79089286,62.94869707,7.14677358,61.522892,blackgram
27,60,22,30.8267187,67.37024814,6.80430987,63.37632881,blackgram
48,49,16,29.48593606,70.22762091,6.29856227,71.35496648,blackgram
45,67,20,31.7427161,67.31723044,6.66615151,75.67360472,blackgram
45,78,22,27.97184159,62.61678981,7.17991141,67.23348142,blackgram
49,76,26,31.27677075,64.66994963,6.84827292,59.32622499,blackgram
43,63,18,33.25871071,67.80294344,6.12035094,76.17141922,blackgram
71,68,15,26.97451012,70.31629695,7.50865569,75.03719557,blackgram
34,69,11,23.0370938,67.49402411,6.77515367,66.69291351,blackgram
27,76,7,28.24124143,65.06879105,6.52614261,65.74122038,blackgram
20,69,21,32.88942292,64.77993562,6.7763973,77.9313234,blackgram
34,78,16,32.15476838,69.55179555,6.98345361,72.96883553,blackgram
50,77,16,23.59195935,62.97572978,7.32871251,67.66638431,blackgram
45,61,21,32.37452452,68.4654244,7.24966429,63.17374741,blackgram
9,67,31,35.39033857,62.06530576,7.08994198,60.67710245,blackgram
40,59,12,25.50308296,66.9477434,6.79725529,58.64439869,blackgram
41,72,20,31.08330228,61.01111182,7.33242173,65.56917903,blackgram
40,69,24,28.52883717,60.99419758,7.2959381,66.96988158,blackgram
58,65,19,32.2885986,59.85057946,7.04325688,68.32106536,blackgram
34,64,16,28.57859047,61.20666397,6.84476227,66.20396654,blackgram
29,61,14,33.17116182,63.8044121,7.14380455,77.98483667,blackgram
34,64,14,27.22722177,63.71970703,5.54119087,66.83333829,blackgram
32,62,13,25.55388156,65.92101087,7.121742,74.41380926,blackgram
47,59,21,30.61559885,65.41710512,6.59004046,73.94662324,blackgram
27,66,23,24.42806021,63.92156093,6.69197874,75.90524342,blackgram
38,64,10,27.96713485,69.16759792,6.77131331,67.48373185,blackgram
32,66,23,27.59890632,65.00026709,7.42524013,63.87766976,blackgram
46,77,13,29.61953251,68.66223933,6.46735987,72.82611314,blackgram
36,68,20,31.19962705,67.20302087,6.53051708,60.66701517,blackgram
63,66,21,25.75550353,67.99061471,7.02488352,67.69266294,blackgram
56,68,19,30.29694367,65.20794725,5.42191999,67.07246801,blackgram
59,62,7,33.09049653,69.50150934,7.99552941,73.19174002,blackgram
30,60,28,35.62303911,64.99205861,7.16891416,63.09570971,blackgram
60,66,22,30.25270112,63.10365412,7.16248849,71.35749764,blackgram
50,61,16,34.66370836,64.50651241,7.01807862,67.12448139,blackgram
35,79,16,34.23211021,69.43485377,6.44711034,70.90879152,blackgram
40,60,21,32.87342777,65.71460196,6.67489355,67.25763966,blackgram
51,78,28,30.39184319,67.28992753,6.12732308,70.14940787,blackgram
30,85,24,31.03660987,63.82453013,6.81352631,75.71240933,blackgram
47,65,13,30.84069834,69.29484396,6.61131846,64.35988003,blackgram
